Consecutive number,"Connection
device identifier(full)","cable
Type/connections number/RCS",Connection: Type designation,Connection color / number,Connection: Cross-section / diameter,Length (full),"Device (source)
Name of target connection point (full)","Device (target)
Name of target connection point (full)",Wire termination processing source,Wire termination processing target,Routing direction source,Routing direction target,Bundle,Layout space: Routing track,Connection designation,Remark
381,=F01+I1-W302,UNITRONIC® LiYCY 3x0.5 mm²,,,,,=F01+I1-W302,=F01+S1-N2:CASE,,,,,,,,
382,=F01+I1-W302,UNITRONIC® LiYCY 3x0.5 mm²,,,,,=F01+I1-W302,=A02+K1.B1-W10:SE,,,,,,,,
383,=+,,H05V-K,BU,"0,5",,=V01+K1.B1-A3:13,=A02+K1.B1-X22-X22.6F:10,,,,,,,,
384,=+,,H05V-K,BU,"0,75",,=A02+K1.B1-X22-X22.6F:10,=F01+K1.B1-K1:A11,,,,,,,,
385,=+,,H05V-K,BU,"0,5",,=F01+K1.B1-K1:A2,=F01+K1.B1-W5(-P2):X1:4,,,,,,,,
386,=+,,H05V-K,,,,=F01+K1.B1-K1,=F01+K1.B1-K1,,,,,,,,
387,=+,,H05V-K,BU,"0,5",,=V01+K1.B1-A1:9,=A02+K1.B1-K21:33,,,,,,,,
388,=+,,,BU,"0,75",,,,,,,,,,,
389,=+,,H05V-K,BU,"0,75",,=A02+K1.B1-X22-X22.6F:6,=F01+K1.B1-K1:A12,,,,,,,,
390,=+,,H05V-K,BU,"0,5",,=V01+K1.B1-A3:14,=A02+K1.B1-X22-X22.6F:6,,,,,,,,
391,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X20-X20.5F:2,=F01+K1.B1-W5(-P2):X1:5,,,,,,,,
392,=F01+I1-W300,"SAC-3P-10,0-PUR/A-1L-Z 3x0.5",,2,,10 m,=F01+S1-Y11:2,=A02+K1.B1-X20-X20.5M:2,,,,,,,,
393,=F01+I1-W300,"SAC-3P-10,0-PUR/A-1L-Z 3x0.5",,1,0.5,10 m,=A02+K1.B1-X20-X20.5M:1,=F01+S1-Y11:1,,,,,,,,
394,=+,,H05V-K,BU,"0,5",,=F01+K1.B1-K1:24,=A02+K1.B1-X20-X20.5F:1,,,,,,,,
395,=+,,H05V-K,BU,"0,5",,=F01+K1.B1-W5(-P1):X1:7,=F01+K1.B1-K1:23,,,,,,,,
396,=F01+I1-W300,"SAC-3P-10,0-PUR/A-1L-Z 3x0.5",,GNYE,0.5,10 m,=A02+K1.B1-X20-X20.5M:3,=F01+S1-Y11:PE,,,,,,,,
397,=F01+I1-W305,UNITRONIC® LiYY 4x0.5,,WH,"0,5",7 m,=F01+S1-Y11:NC,=A02+K1.B1-X20-X20.5M:4,,,,,,,,
398,=F01+I1-W305,UNITRONIC® LiYY 4x0.5,,GN,"0,5",7 m,=F01+S1-Y11:COM,=A02+K1.B1-X20-X20.5M:5,,,,,,,,
399,=+,,H07V-K,BU,"1,5",,=F01+K1.B1-V1:2.1,=F01+K1.B1-W5(-P1):X1:9,,,,,,,,
400,=+,,H07V-K,BU,4,,=A02+K1.B1-W6(-P2):X1:3,=F01+K1.B1-W5(-P2):X1:9,,,,,,,,
401,=M01+I1-W131,"ÖLFLEX® CLASSIC 110 CY 4x1,5 mm²",,Schirm,"0,00",,=A02+K1.H1-W12:SE,=M01+S1-M1:CASE,,,,,,,,
402,=+,,,,,,=M01+K1.D2-X1:1,=M01+K1.D2-X1:1,,,,,,,,
403,=+,,H05V-K,fest verbunden,BK,,=M01+K1.H1-Z1:L/L1,=M01+K1.H1-U1:L1,,,,,,,,
404,=+,,H07V-K,BK,"1,5",,=M01+K1.H2-F2:2,=M01+K1.H1-Z1:L/L1,,,,,,,,
405,=+,,,direkt verbunden,,,=A01+K1.H2-W0:L2,=M01+K1.H2-F2:1,,,,,,,,
406,=+,,H05V-K,fest verbunden,BK,,=M01+K1.H1-Z1:N/L2,=M01+K1.H1-U1:N,,,,,,,,
407,=+,,H07V-K,BU,"1,5",,=A02+K1.H2-X5:N:2,=M01+K1.H1-Z1:N/L2,,,,,,,,
408,=+,,H07V-K,GNYE,"1,5",,=A02+K1.H2-X6:PE:2,=M01+K1.H1-Z1:PE,,,,,,,,
409,=+,,H05V-K,fest verbunden,GN,,=M01+K1.H1-Z1:PE,=M01+K1.H1-U1:G,,,,,,,,
410,=+,,H05V-K,BU,"0,5",,=M01+K1.H1-U1:P24,=M01+K1.H1-U1:PSC,,,,,,,,
411,=+,,,BU,"0,75",,,,,,,,,,,
412,=M01+I1-W131,"ÖLFLEX® CLASSIC 110 CY 4x1,5 mm²",,1,"1,5",7 m,=M01+K1.D2-X1:1,=M01+S1-M1:U,,,,,,,,
413,=M01+K1-W131,ÖLFLEX® CLASSIC 110 CY 4x1.5 mm²,,1,"1,5",3 m,=M01+K1.H1-U1:U/T1,=M01+K1.D2-X1:1,,,,,,,,
414,=+,,,,,,=M01+K1.D2-X1:2,=M01+K1.D2-X1:2,,,,,,,,
415,=M01+I1-W131,"ÖLFLEX® CLASSIC 110 CY 4x1,5 mm²",,2,"1,5",7 m,=M01+K1.D2-X1:2,=M01+S1-M1:V,,,,,,,,
416,=M01+K1-W131,ÖLFLEX® CLASSIC 110 CY 4x1.5 mm²,,2,"1,5",3 m,=M01+K1.H1-U1:V/T2,=M01+K1.D2-X1:2,,,,,,,,
417,=+,,,,,,=M01+K1.D2-X1:3,=M01+K1.D2-X1:3,,,,,,,,
418,=M01+I1-W131,"ÖLFLEX® CLASSIC 110 CY 4x1,5 mm²",,3,"1,5",7 m,=M01+K1.D2-X1:3,=M01+S1-M1:W,,,,,,,,
419,=M01+K1-W131,ÖLFLEX® CLASSIC 110 CY 4x1.5 mm²,,3,"1,5",3 m,=M01+K1.H1-U1:W/T3,=M01+K1.D2-X1:3,,,,,,,,
420,=M01+I1-W131,"ÖLFLEX® CLASSIC 110 CY 4x1,5 mm²",,GNYE,"1,5",7 m,=M01+K1.D2-X1:PE,=M01+S1-M1:PE,,,,,,,,
421,=+,,H05V-K,BU,"0,5",,=M01+K1.D2-X1:PE,=M01+K1.D2-X1:PE,,,,,,,,
422,=M01+K1-W131,ÖLFLEX® CLASSIC 110 CY 4x1.5 mm²,,GNYE,"1,5",3 m,=M01+K1.H1-U1:G',=M01+K1.D2-X1:PE,,,,,,,,
423,=M01+I1-W334,"ÖLFLEX® CLASSIC 110 2x0,5 mm²",,1,"0,5",7 m,=A02+K1.B1-X20-X20.6M:1,=M01+S1-M1:T1,,,,,,,,
424,=M01+K1-W333,"ÖLFLEX® CLASSIC 110 2x0,5 mm²",,1,"0,5",4 m,=M01+K1.H1-U1:S5/TH,=A02+K1.B1-X20-X20.6F:1,,,,,,,,
425,=M01+I1-W334,"ÖLFLEX® CLASSIC 110 2x0,5 mm²",,2,"0,5",7 m,=A02+K1.B1-X20-X20.6M:2,=M01+S1-M1:T2,,,,,,,,
426,=M01+K1-W333,"ÖLFLEX® CLASSIC 110 2x0,5 mm²",,2,"0,5",4 m,=M01+K1.H1-U1:SC,=A02+K1.B1-X20-X20.6F:2,,,,,,,,
427,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-W5(-P1):X2:5,=A02+K1.B1-X20-X20.6F:3,,,,,,,,
428,=M01+I1-W335,V1-W-E2-5M-PUR 1x0.34,,BR,"0,34",,=A02+K1.B1-X20-X20.6M:3,=M01+S1-B11:1,,,,,,,,
429,=M01+I1-W335,V1-W-E2-5M-PUR 1x0.34,,BK,"0,34",,=A02+K1.B1-X20-X20.6M:4,=M01+S1-B11:2,,,,,,,,
430,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-A3:11,=A02+K1.B1-X20-X20.6F:4,,,,,,,,
431,=M01+I1-W335,V1-W-E2-5M-PUR 1x0.34,,BU,"0,34",,=A02+K1.B1-X20-X20.6M:5,=M01+S1-B11:3,,,,,,,,
432,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X20-X20.6F:5,=A02+K1.B1-W5(-P2):X3:6,,,,,,,,
433,=M01+I1-W338,"ÖLFLEX® CLASSIC 110 2x0,5 mm²",,1,"0,5",5 m,=A02+K1.B1-X20-X20.6M:6,=M01+S1-Y11:2,,,,,,,,
434,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-W5(-P2):X3:8,=A02+K1.B1-X20-X20.6F:6,,,,,,,,
435,=M01+I1-W338,"ÖLFLEX® CLASSIC 110 2x0,5 mm²",,2,"0,5",5 m,=M01+S1-Y11:1,=A02+K1.B1-X20-X20.6M:7,,,,,,,,
436,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-K20:44,=A02+K1.B1-X20-X20.6F:7,,,,,,,,
437,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-K20:44,=M01+K1.B1-K10:41,,,,,,,,
438,=+,,H05V-K,BU,"0,5",,=M01+K1.B1-K10:41,=M01+K1.B1-K11:41,,,,,,,,
439,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-A2:9,=A02+K1.B1-K20:43,,,,,,,,
440,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-W5(-P1):X2:7,=M01+K1.B1-K9:42,,,,,,,,
441,=+,,H05V-K,BU,"0,5",,=M01+K1.B1-K9:41,=M01+K1.B1-K10:44,,,,,,,,
442,=+,,H05V-K,BU,"0,5",,=M01+K1.B1-K10:44,=M01+K1.B1-K11:44,,,,,,,,
443,=M01+I1-W367,"ÖLFLEX® CLASSIC 110 2x0,5 mm²",,1,"0,5",5 m,=A02+K1.B1-X20-X20.6M:8,=M01+S1-Y12:4,,,,,,,,
444,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-W5(-P2):X4:2,=A02+K1.B1-X20-X20.6F:8,,,,,,,,
445,=M01+I1-W367,"ÖLFLEX® CLASSIC 110 2x0,5 mm²",,2,"0,5",5 m,=M01+S1-Y12:3,=A02+K1.B1-X20-X20.6M:9,,,,,,,,
446,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-A2:10,=A02+K1.B1-X20-X20.6F:9,,,,,,,,
447,=+,,H05V-K,BU,"0,5",,=M01+K1.B1-K10:A2,=A02+K1.B1-W5(-P2):P2:2,,,,,,,,
448,=+,,H05V-K,BU,"0,5",,=M01+K1.B1-K10:A1,=P01+K1.B1-X9:8:5,,,,,,,,
449,=+,,H05V-K,BU,"0,5",,=M01+K1.B1-K11:A2,=A02+K1.B1-W5(-P2):P2:2,,,,,,,,
450,=+,,H05V-K,BU,"0,5",,=M01+K1.B1-K11:A1,=P01+K1.B1-X9:9:4,,,,,,,,
451,=+,,H05V-K,BU,"0,5",,=M01+K1.B1-K9:A2,=A02+K1.B1-W5(-P2):P2:2,,,,,,,,
452,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-K20:54,=M01+K1.B1-K9:A1,,,,,,,,
453,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-W5(-P1):X3:3,=A02+K1.B1-K20:53,,,,,,,,
454,=+,,H05V-K,BU,"0,5",,=M01+K1.B1-K10:11,=M01+K1.H1-U1:S1,,,,,,,,
455,=+,,H05V-K,BU,"0,5",,=M01+K1.B1-K10:14,=M01+K1.B1-K11:14,,,,,,,,
456,=+,,H05V-K,BU,"0,5",,=M01+K1.B1-K11:14,=M01+K1.B1-K9:12,,,,,,,,
457,=+,,H05V-K,BU,"0,5",,=M01+K1.B1-K9:12,=M01+K1.H1-U1:SC',,,,,,,,
458,=+,,H05V-K,BU,"0,5",,=M01+K1.B1-K11:11,=M01+K1.H1-U1:S2,,,,,,,,
459,=+,,H05V-K,BU,"0,5",,=M01+K1.B1-K9:11,=M01+K1.H1-U1:S6,,,,,,,,
460,=+,,H05V-K,BU,"0,5",,=M01+K1.H1-U1:S6,=M01+K1.H1-U1:S7/EB,,,,,,,,
461,=+,,H05V-K,BU,"0,5",,=O01+K1.B1-V2:3,=O01+K1.B1-W5(-P2):X1:1,,,,,,,,
462,=+,,H05V-K,BU,"0,5",,=O01+K1.B1-A1:9,=O01+K1.B1-V2:1,,,,,,,,
463,=+,,H05V-K,BU,"0,5",,=O01+K1.B1-V2:1,=O01+K1.B1-V2:21,,,,,,,,
464,=+,,H05V-K,BU,"0,5",,=O01+K1.B1-W5(-P2):X1:2,=A02+K1.B1-X20-X20.6F:11,,,,,,,,
465,=+,,H05V-K,BU,"0,5",,=O01+K1.B1-K4:14,=A02+K1.B1-X20-X20.6F:11,,,,,,,,
466,=+,,H05V-K,BU,"0,5",,=O01+K1.B1-V2:2,=O01+K1.B1-K4:12,,,,,,,,
467,=+,,H05V-K,BU,"0,5",,=O01+S1-X1:1,=O01+S1-X1:1,,,,,,,,
468,=O01+I1-W416,"RG58U/C 1x0,00",,WH,"0,60",,=P01+S11-D1.PCIe_X1_SLOT:CH1.1,=O01+S1-U1:IN.1,,,,,,,,
469,=O01+I1-W505,,,,,,=O01+S1-W515,=O01+S1-U1:OUT.G,,,,,,,,
470,=+,,H05V-K,BU,"0,5",,=O01+S1-X1:G,=O01+S1-X1:G,,,,,,,,
471,=O01+I1-W505,,,,,,=O01+S1-X1:G,=O01+S1-W515,,,,,,,,
472,=O01+I1-W406,,,Schirm,"0,00",,=O01+S1-U1:IN.G,=P01+S11-D1.PCIe_X1_SLOT:CH1.G,,,,,,,,
473,=+,,H05V-K,BU,"0,75",,=O01+S1-M1:+,=O01+S1-X1.2:1,,,,,,,,
474,=O01+I1-W307,"ÖLFLEX® CLASSIC 110 2x0,5 mm²",,1,"0,5",5 m,=A02+K1.B1-X20-X20.6M:10,=O01+S1-X1.2:1,,,,,,,,
475,=+,,H05V-K,BU,"0,5",,=O01+K1.B1-K4:11,=A02+K1.B1-X20-X20.6F:10,,,,,,,,
476,=+,,H05V-K,BU,"0,75",,=O01+S1-M1:-,=O01+S1-X2:3,,,,,,,,
477,=O01+I1-W307,"ÖLFLEX® CLASSIC 110 2x0,5 mm²",,2,"0,5",5 m,=A02+K1.B1-X20-X20.6M:11,=O01+S1-X2:3,,,,,,,,
478,=+,,H05V-K,BU,"0,5",,=O01+K1.B1-K1:0,=O01+K1.B1-W5(-P2):X1:3,,,,,,,,
479,=+,,H05V-K,BU,"0,5",,=O01+K1.B1-K4:A2,=O01+K1.B1-K1:A,,,,,,,,
480,=+,,H05V-K,BU,"0,5",,=O01+S1-X1.3:1,=O01+S1-E1-X6:1,,,,,,,,
481,=O01+I1-W408,UNITRONIC® LiYCY (TP) 4x0.5 mm,,WH,0.5,5 m,=A02+K1.B1-X20-X20.6M:12,=O01+S1-X1.3:1,,,,,,,,
482,=+,,H05V-K,BU,"0,5",,=O01+S1-X3:2,=O01+S1-E1(-X6):2,,,,,,,,
483,=O01+I1-W408,UNITRONIC® LiYCY (TP) 4x0.5 mm,,BN,0.5,5 m,=A02+K1.B1-X20-X20.6M:13,=O01+S1-X3:2,,,,,,,,
484,=+,,H05V-K,BU,"0,5",,=O01+S1-X3:3,=O01+S1-E1(-X6):3,,,,,,,,
485,=O01+I1-W408,UNITRONIC® LiYCY (TP) 4x0.5 mm,,GN,0.5,5 m,=A02+K1.B1-X20-X20.6M:14,=O01+S1-X3:3,,,,,,,,
486,=+,,H05V-K,BU,"0,5",,=O01+K1.B1-W5(-P1):X1:2,=A02+K1.B1-X20-X20.6F:14,,,,,,,,
487,=+,,H05V-K,BU,"0,5",,=O01+S1-X3:4,=O01+S1-E1(-X6):4,,,,,,,,
488,=O01+I1-W408,UNITRONIC® LiYCY (TP) 4x0.5 mm,,YE,0.5,5 m,=A02+K1.B1-X20-X20.6M:15,=O01+S1-X3:4,,,,,,,,
489,=+,,H05V-K,BU,"0,5",,=O01+K1.B1-A1:2,=A02+K1.B1-X20-X20.6F:15,,,,,,,,
490,=O01+I1-W408,UNITRONIC® LiYCY (TP) 4x0.5 mm,,Schirm,,,=O01+S1-X3:CASE,=A02+K1.B1-W10:SE,,,,,,,,
491,=+,,H05V-K,BU,"0,5",,=O01+K1.B1-K1:A2,=O01+K1.B1-W5(-P2):X1:4,,,,,,,,
492,=+,,H05V-K,BU,"0,5",,=O01+K1.B1-A1:16,=O01+K1.B1-K1:A1,,,,,,,,
493,=O01+I5-W329,,,BK,"0,34",15 m,,,,,,,,,,
494,=O01+I5-W329,,,BU,"0,34",15 m,,,,,,,,,,
495,=O01+I5-W329,,,BN,"0,34",15 m,,,,,,,,,,
496,=O01+S1-W515,RG 188 A 1x0.54,,WH,"0,54",,=O01+S1-X1:1,=O01+S1-U1:OUT.1,,,,,,,,
497,=+,,H05V-K,BU,"0,5",,=O01+K1.B1-K4:A1,=O01+K1.B1-A1:1,,,,,,,,
498,=+,,H05V-K,BU,"0,5",,=O01+K1.B1-A1:1,=A02+K1.B1-X20-X20.6F:13,,,,,,,,
499,=+,,H05V-K,BU,"0,5",,=O01+K1.B1-K1:+,=A02+K1.B1-X20-X20.6F:12,,,,,,,,
500,=+,,H05V-K,BU,"0,5",,=O01+K1.B1-W5(-P1):X1:1,=A02+K1.B1-X20-X20.6F:12,,,,,,,,
501,=+,,H05V-K,BU,"0,5",,=O01+K1.B1-A1:5,=A02+K1.B1-X21-X21.4F:10,,,,,,,,
502,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X21-X21.4F:10,=Q01+K1.B1-A4:6,,,,,,,,
503,=+,,H07V-K,BU,"1,5",,=O01+K1.B1-V1:2.1,=O01+K1.B1-W5(-P1):X1:9,,,,,,,,
504,=+,,H07V-K,BU,4,,=A02+K1.B1-W6(-P2):X1:4,=O01+K1.B1-W5(-P2):X1:9,,,,,,,,
505,=+,,H05V-K,BU,"0,5",,=O01+K1.B1-A2:2,=O01+K1.B1-W5(-P1):X1:6,,,,,,,,
506,=+,,H05V-K,BU,"0,5",,=O01+K1.B1-A2:7,=O01+K1.B1-W5(-P2):X1:8,,,,,,,,
507,=O02+K1-W101,"Netzkabel-Gerät 3x0,75",,BK,"0,75",,=P01+K1.G1-E1:X3:L,=O02+K1.G1-D2:L,,,,,,,,
508,=O02+K1-W101,"Netzkabel-Gerät 3x0,75",,BU,"0,75",,=P01+K1.G1-E1:X3:N,=O02+K1.G1-D2:N,,,,,,,,
509,=O02+K1-W101,"Netzkabel-Gerät 3x0,75",,GNYE,"0,75",,=P01+K1.G1-E1:X3:PE,=O02+K1.G1-D2:PE,,,,,,,,
510,=O02+K1-W503,Cat-5 Patchkabel,,GN,,2 m,=O02+K1.G1-D2:RJ45,=P01+K1.B1-A0.10:3:3,,,,,,,,
511,=+,,H05V-K,BU,"0,5",,=O01+K1.B1-A1:3,=O02+K1.B1-X9:1:4,,,,,,,,
512,=O02+K1-W305,UNITRONIC® LiYCY 3x0.5 mm²,,BN,"0,5",3 m,=O02+K1.G1-D2-X6:7,=O02+K1.B1-X9:1:3,,,,,,,,
513,=+,,H05V-K,BU,"0,5",,=O02+K1.B1-X9:2:5,=O01+K1.B1-W5(-P1):P1:2,,,,,,,,
514,=O02+K1-W305,UNITRONIC® LiYCY 3x0.5 mm²,,WH,"0,5",3 m,=O02+K1.G1-D2-X6:8,=O02+K1.B1-X9:2:2,,,,,,,,
515,=+,,H05V-K,BU,"0,5",,=O02+K1.B1-X9:3:4,=O01+K1.B1-W5(-P2):P2:2,,,,,,,,
516,=O02+K1-W305,UNITRONIC® LiYCY 3x0.5 mm²,,GN,"0,5",3 m,=O02+K1.G1-D2-X6:9,=O02+K1.B1-X9:3:3,,,,,,,,
517,=+,,H05V-K,BU,"0,5",,=O02+S1-X1:1,=O02+S1-H1:1,,,,,,,,
518,=+,,H05V-K,BU,"0,5",,=O02+S1-X1:4,=O02+S1-H1:1,,,,,,,,
519,=+,,H05V-K,BU,"0,5",,=O02+S1-X1:1,=O02+S1-X1:1,,,,,,,,
520,=O02+I1-W310,"UNITRONIC® LiYCY (TP) 8x0,5",,WH,"0,5",8 m,=A02+K1.B1-X21-X21.1M:1,=O02+S1-X1:1,,,,,,,,
521,=O02+I1-W310,"UNITRONIC® LiYCY (TP) 8x0,5",,BN,"0,5",8 m,=O02+S1-X1:1,=A02+K1.B1-X21-X21.1M:2,,,,,,,,
522,=O02+K1-W310,"UNITRONIC® LiYCY (TP) 8x0,5",,WH,"0,5",8 m,=O02+K1.G1-D2-X2:.1,=A02+K1.B1-X21-X21.1F:1,,,,,,,,
523,=O02+K1-W310,"UNITRONIC® LiYCY (TP) 8x0,5",,BN,"0,5",8 m,=O02+K1.G1-D2-X2:.2,=A02+K1.B1-X21-X21.1F:2,,,,,,,,
524,=+,,H05V-K,BU,"0,5",,=O02+S1-X1:4,=O02+S1-X1:4,,,,,,,,
525,=O02+I1-W310,"UNITRONIC® LiYCY (TP) 8x0,5",,GY,"0,5",8 m,=A02+K1.B1-X21-X21.1M:3,=O02+S1-X1:4,,,,,,,,
526,=O02+I1-W310,"UNITRONIC® LiYCY (TP) 8x0,5",,PK,"0,5",8 m,=O02+S1-X1:4,=A02+K1.B1-X21-X21.1M:4,,,,,,,,
527,=O02+K1-W310,"UNITRONIC® LiYCY (TP) 8x0,5",,GY,"0,5",8 m,=O02+K1.G1-D2-X2:.6,=A02+K1.B1-X21-X21.1F:3,,,,,,,,
528,=O02+K1-W310,"UNITRONIC® LiYCY (TP) 8x0,5",,PK,"0,5",8 m,=O02+K1.G1-D2-X2:.7,=A02+K1.B1-X21-X21.1F:4,,,,,,,,
529,=+,,H05V-K,BU,"0,5",,=O02+S1-H1:2,=O02+S1-X1:3,,,,,,,,
530,=+,,H05V-K,BU,"0,5",,=O02+S1-H1:2,=O02+S1-X1:2,,,,,,,,
531,=+,,H05V-K,BU,"0,5",,=O02+S1-X1:3,=O02+S1-X1:3,,,,,,,,
532,=O02+I1-W310,"UNITRONIC® LiYCY (TP) 8x0,5",,GN,"0,5",8 m,=A02+K1.B1-X21-X21.1M:5,=O02+S1-X1:3,,,,,,,,
533,=O02+I1-W310,"UNITRONIC® LiYCY (TP) 8x0,5",,YE,"0,5",8 m,=O02+S1-X1:3,=A02+K1.B1-X21-X21.1M:6,,,,,,,,
534,=O02+K1-W310,"UNITRONIC® LiYCY (TP) 8x0,5",,GN,"0,5",8 m,=O02+K1.G1-D2-X2:.4,=A02+K1.B1-X21-X21.1F:5,,,,,,,,
535,=O02+K1-W310,"UNITRONIC® LiYCY (TP) 8x0,5",,YE,"0,5",8 m,=O02+K1.G1-D2-X2:.5,=A02+K1.B1-X21-X21.1F:6,,,,,,,,
536,=+,,H05V-K,BU,"0,5",,=O02+S1-X1:2,=O02+S1-X1:2,,,,,,,,
537,=O02+I1-W310,"UNITRONIC® LiYCY (TP) 8x0,5",,RD,"0,5",8 m,=A02+K1.B1-X21-X21.1M:7,=O02+S1-X1:2,,,,,,,,
538,=O02+I1-W310,"UNITRONIC® LiYCY (TP) 8x0,5",,BU,"0,5",8 m,=O02+S1-X1:2,=A02+K1.B1-X21-X21.1M:8,,,,,,,,
539,=O02+K1-W310,"UNITRONIC® LiYCY (TP) 8x0,5",,RD,"0,5",8 m,=O02+K1.G1-D2-X2:.8,=A02+K1.B1-X21-X21.1F:7,,,,,,,,
540,=O02+K1-W310,"UNITRONIC® LiYCY (TP) 8x0,5",,BU,"0,5",8 m,=O02+K1.G1-D2-X2:.9,=A02+K1.B1-X21-X21.1F:8,,,,,,,,
541,=+,,H05V-K,BU,"0,5",,=O02+K1.B1-X9:4:5,=O01+K1.B1-W5(-P2):P2:2,,,,,,,,
542,=O02+K1-W304,UNITRONIC® LiYCY (TP) 4x0.5 mm,,WH,0.5,3 m,=O02+K1.G1-D2-X5:1,=O02+K1.B1-X9:4:2,,,,,,,,
543,=O02+K1-W304,UNITRONIC® LiYCY (TP) 4x0.5 mm,,BN,0.5,3 m,=O02+K1.B1-X9:4:2,=O02+K1.G1-D2-X5:2,,,,,,,,
544,=+,,H05V-K,BU,"0,5",,=O02+K1.B1-X9:5:4,=O01+K1.B1-W5(-P1):P1:2,,,,,,,,
545,=O02+K1-W304,UNITRONIC® LiYCY (TP) 4x0.5 mm,,YE,0.5,3 m,=O02+K1.G1-D2-X5:4,=O02+K1.B1-X9:5:3,,,,,,,,
546,=O02+K1-W304,UNITRONIC® LiYCY (TP) 4x0.5 mm,,GN,0.5,3 m,=O02+K1.B1-X9:5:3,=O02+K1.G1-D2-X5:5,,,,,,,,
547,=O02+K1-W312,UNITRONIC® LiYCY (TP) 4x0.5 mm,,,,,=O02+K1.H1-A20-X4:CASE,=O02+K1-W312,,,,,,,,
548,=O02+K1-W312,UNITRONIC® LiYCY (TP) 4x0.5 mm,,,,,=O02+K1.G1-D2:X4.CASE,=O02+K1-W312,,,,,,,,
549,=O02+K1-W312,UNITRONIC® LiYCY (TP) 4x0.5 mm,,WH,0.5,4 m,=O02+K1.G1-D2:X4.4,=O02+K1.H1-A20-X4:3,,,,,,,,
550,=O02+K1-W312,UNITRONIC® LiYCY (TP) 4x0.5 mm,,BN,0.5,4 m,=O02+K1.G1-D2:X4.3,=O02+K1.H1-A20-X4:1,,,,,,,,
551,=O02+K1-W312,UNITRONIC® LiYCY (TP) 4x0.5 mm,,GN,0.5,4 m,=O02+K1.G1-D2:X4.5,=O02+K1.H1-A20-X4:7,,,,,,,,
552,=O02+K1-W312,UNITRONIC® LiYCY (TP) 4x0.5 mm,,YE,0.5,4 m,=O02+K1.G1-D2:X4.1,=O02+K1.H1-A20-X4:5,,,,,,,,
553,=O02+K1-W312,UNITRONIC® LiYCY (TP) 4x0.5 mm,,,,,=O02+K1-W312,=A02+K1.H1-W10:SE,,,,,,,,
554,=+,,H05V-K,BU,"0,5",,=O02+K1.H1-A20-X1:2,=O01+K1.B1-W5(-P1):P1:2,,,,,,,,
555,=+,,H05V-K,BU,"0,5",,=O02+K1.H1-A20-X1:4,=O02+K1.B1-O01-W5(-P2):P2:2,,,,,,,,
556,=O02+I1-W311,UNITRONIC® LiYCY (TP) 8x0.25,,,,,=O02+K1.H1-A20-X2:CASE,=O02+I1-W311,,,,,,,,
557,=+,,,,,,=O02+S1-B4:CASE,=+,,,,,,,,
558,=O02+K1-W311,UNITRONIC® LiYCY (TP) 8x0.25,,WH,"0,25",5 m,=A02+K1.B1-X21-X21.2F:1,=O02+K1.H1-A20-X2:3,,,,,,,,
559,=O02+I1-W311,UNITRONIC® LiYCY (TP) 8x0.25,,WH,"0,25",5 m,=O02+S1-B4:1,=A02+K1.B1-X21-X21.2M:1,,,,,,,,
560,=O02+K1-W311,UNITRONIC® LiYCY (TP) 8x0.25,,BN,"0,25",5 m,=A02+K1.B1-X21-X21.2F:2,=O02+K1.H1-A20-X2:2,,,,,,,,
561,=O02+I1-W311,UNITRONIC® LiYCY (TP) 8x0.25,,BN,"0,25",5 m,=O02+S1-B4:2,=A02+K1.B1-X21-X21.2M:2,,,,,,,,
562,=O02+K1-W311,UNITRONIC® LiYCY (TP) 8x0.25,,GN,"0,25",5 m,=A02+K1.B1-X21-X21.2F:3,=O02+K1.H1-A20-X2:1,,,,,,,,
563,=O02+I1-W311,UNITRONIC® LiYCY (TP) 8x0.25,,GN,"0,25",5 m,=O02+S1-B4:3,=A02+K1.B1-X21-X21.2M:3,,,,,,,,
564,=O02+K1-W311,UNITRONIC® LiYCY (TP) 8x0.25,,YE,"0,25",5 m,=A02+K1.B1-X21-X21.2F:4,=O02+K1.H1-A20-X2:9,,,,,,,,
565,=O02+I1-W311,UNITRONIC® LiYCY (TP) 8x0.25,,YE,"0,25",5 m,=O02+S1-B4:4,=A02+K1.B1-X21-X21.2M:4,,,,,,,,
566,=O02+K1-W311,UNITRONIC® LiYCY (TP) 8x0.25,,GY,"0,25",5 m,=A02+K1.B1-X21-X21.2F:5,=O02+K1.H1-A20-X2:7,,,,,,,,
567,=O02+I1-W311,UNITRONIC® LiYCY (TP) 8x0.25,,GY,"0,25",5 m,=O02+S1-B4:5,=A02+K1.B1-X21-X21.2M:5,,,,,,,,
